Time - Force	Amplitude - Force
0,57459	-0,766359
0,575195	-0,764618
0,575801	-0,758816
0,576406	-0,755914
0,577012	-0,764038
0,577617	-0,755914
0,578223	-0,772742
0,578828	-0,753883
0,579434	-0,756495
0,580039	-0,756495
0,580645	-0,752433
0,58125	-0,759976
0,581855	-0,761717
0,582461	-0,761717
0,583066	-0,749821
0,583672	-0,762878
0,584277	-0,761717
0,584883	-0,749531
0,585488	-0,739377
0,586094	-0,736475
0,586699	-0,731543
0,587305	-0,736185
0,58791	-0,741698
0,588516	-0,743438
0,589121	-0,730092
0,589727	-0,740247
0,590332	-0,72574
0,590938	-0,735605
0,591543	-0,748371
0,592148	-0,726611
0,592754	-0,731833
0,593359	-0,749821
0,593965	-0,710073
0,59457	-0,722549
0,595176	-0,706591
0,595781	-0,701079
0,596387	-0,721968
0,596992	-0,701079
0,597598	-0,716456
0,598203	-0,716746
0,598809	-0,706881
0,599414	-0,7034
0,60002	-0,695276
0,600625	-0,721678
0,60123	-0,699628
0,601836	-0,685701
0,602441	-0,688313
0,603047	-0,700498
0,603652	-0,691794
0,604258	-0,675837
0,604863	-0,702239
0,605469	-0,68164
0,606074	-0,710363
0,60668	-0,687152
0,607285	-0,699338
0,607891	-0,673806
0,608496	-0,684541
0,609102	-0,68164
0,609707	-0,670324
0,610313	-0,667713
0,610918	-0,689473
0,611523	-0,673806
0,612129	-0,671195
0,612734	-0,675257
0,61334	-0,655527
0,613945	-0,671485
0,614551	-0,648564
0,615156	-0,677578
0,615762	-0,656108
0,616367	-0,649725
0,616973	-0,645373
0,617578	-0,646243
0,618184	-0,63899
0,618789	-0,657558
0,619395	-0,64044
0,62	-0,63899
0,620605	-0,647984
0,621211	-0,653787
0,621816	-0,647113
0,622422	-0,66133
0,623027	-0,647694
0,623633	-0,647984
0,624238	-0,629995
0,624844	-0,628255
0,625449	-0,635218
0,626055	-0,647404
0,62666	-0,638699
0,627266	-0,625933
0,627871	-0,64073
0,628477	-0,620131
0,629082	-0,6181
0,629687	-0,606204
0,630293	-0,61926
0,630898	-0,623032
0,631504	-0,608525
0,632109	-0,614618
0,632715	-0,625643
0,63332	-0,588796
0,633926	-0,61868
0,634531	-0,600692
0,635137	-0,5975
0,635742	-0,620711
0,636348	-0,608815
0,636953	-0,615198
0,637559	-0,614618
0,638164	-0,620131
0,63877	-0,595469
0,639375	-0,600982
0,63998	-0,609106
0,640586	-0,601562
0,641191	-0,606494
0,641797	-0,61752
0,642402	-0,598371
0,643008	-0,590247
0,643613	-0,59692
0,644219	-0,582413
0,644824	-0,589667
0,64543	-0,591407
0,646035	-0,577191
0,646641	-0,585895
0,647246	-0,583284
0,647852	-0,583864
0,648457	-0,573419
0,649062	-0,577771
0,649668	-0,568777
0,650273	-0,568196
0,650879	-0,563554
0,651484	-0,55398
0,65209	-0,55485
0,652695	-0,552239
0,653301	-0,540634
0,653906	-0,542374
0,654512	-0,546436
0,655117	-0,560363
0,655723	-0,538893
0,656328	-0,547017
0,656934	-0,55427
0,657539	-0,544695
0,658145	-0,538312
0,65875	-0,542665
0,659355	-0,529028
0,659961	-0,540343
0,660566	-0,524676
0,661172	-0,525837
0,661777	-0,551949
0,662383	-0,531639
0,662988	-0,526417
0,663594	-0,540343
0,664199	-0,535701
0,664805	-0,528448
0,66541	-0,539183
0,666016	-0,528448
0,666621	-0,529318
0,667227	-0,531349
0,667832	-0,510169
0,668438	-0,530479
0,669043	-0,513361
0,669648	-0,517423
0,670254	-0,517713
0,670859	-0,507268
0,671465	-0,508429
0,67207	-0,49102
0,672676	-0,49015
0,673281	-0,486088
0,673887	-0,51249
0,674492	-0,498854
0,675098	-0,503786
0,675703	-0,480575
0,676309	-0,500885
0,676914	-0,49073
0,67752	-0,478835
0,678125	-0,492761
0,67873	-0,472452
0,679336	-0,472452
0,679941	-0,474192
0,680547	-0,456204
0,681152	-0,466359
0,681758	-0,456204
0,682363	-0,477964
0,682969	-0,479705
0,683574	-0,454753
0,68418	-0,46839
0,684785	-0,471291
0,685391	-0,473032
0,685996	-0,456494
0,686602	-0,477964
0,687207	-0,4475
0,687813	-0,481156
0,688418	-0,462297
0,689023	-0,457945
0,689629	-0,442858
0,690234	-0,44721
0,69084	-0,449531
0,691445	-0,444309
0,692051	-0,437926
0,692656	-0,464618
0,693262	-0,437926
0,693867	-0,431833
0,694473	-0,445179
0,695078	-0,418486
0,695684	-0,439666
0,696289	-0,415005
0,696895	-0,411813
0,6975	-0,400498
0,698105	-0,409492
0,698711	-0,401659
0,699316	-0,413844
0,699922	-0,428641
0,700527	-0,397887
0,701133	-0,408912
0,701738	-0,430962
0,702344	-0,408622
0,702949	-0,40572
0,703555	-0,394405
0,70416	-0,392664
0,704766	-0,412394
0,705371	-0,40572
0,705977	-0,415875
0,706582	-0,394695
0,707187	-0,390924
0,707793	-0,412974
0,708398	-0,389763
0,709004	-0,390343
0,709609	-0,398177
0,710215	-0,378158
0,71082	-0,398757
0,711426	-0,388602
0,712031	-0,390343
0,712637	-0,366842
0,713242	-0,376127
0,713848	-0,371484
0,714453	-0,378448
0,715059	-0,38338
0,715664	-0,355817
0,71627	-0,366262
0,716875	-0,373515
0,71748	-0,36104
0,718086	-0,356397
0,718691	-0,379608
0,719297	-0,365392
0,719902	-0,367423
0,720508	-0,379898
0,721113	-0,372065
0,721719	-0,371194
0,722324	-0,351175
0,72293	-0,360459
0,723535	-0,370614
0,724141	-0,342761
0,724746	-0,335217
0,725352	-0,365682
0,725957	-0,337539
0,726562	-0,351175
0,727168	-0,325353
